定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00.0,東京,,D10,34R,7:9.9,0
7:00,7:00.0,東京,,D8,34L,7:11.1,0
7:00,7:03.9,大阪,,D81,34R,7:10.9,4
7:00,7:00.2,東京,,D2,34R,7:11.9,1
7:00,7:00.3,東京,,D4,34L,7:12.1,1
7:05,7:05.0,大阪,,D6,34R,7:16.1,0
7:05,7:05.0,奄美大島,,D6,34L,7:16.6,0
7:10,7:10.2,沖縄/那覇,,D82,34R,7:17.1,1
7:10,7:10.0,宮崎,,D12,34L,7:19.9,0
7:10,7:11.2,宮崎,,D82,34R,7:18.1,2
7:15,7:15.0,出雲,,D81,34R,7:22.1,0
7:15,7:15.0,沖縄/那覇,,D12,34L,7:24.9,0
7:20,7:20.0,新潟,,D82,34R,7:26.9,0
7:25,7:25.0,小松,,D81,34L,7:32.5,0
7:25,7:25.0,成田,,D3,34R,7:36.6,0
7:35,7:35.0,東京,,D7,34L,7:46.4,0
7:40,7:40.0,名古屋/中部,,D5,34R,7:51.3,0
7:40,7:40.0,対馬,,D82,34L,7:47.4,0
7:45,7:45.0,福江,,D82,34L,7:52.4,0
7:50,7:50.0,松山,,D81,16L,7:56.3,0
7:55,7:55.0,仙台,,D81,34L,8:2.5,0
7:55,7:55.0,成田,,D1,34R,8:6.9,0
8:00,8:00.0,東京,,D11,34L,8:10.1,0
8:00,8:00.0,沖縄/那覇,,D6,34R,8:11.1,0
8:00,8:00.0,沖縄/那覇,,D4,34L,8:11.9,0
8:05,,ハノイ,,着陸,34R,8:12.2,8
8:10,,バンコク/スワンナプーム,,着陸,34L,8:13.0,3
8:15,,大阪,,着陸,34R,8:15.0,0
8:15,,関西,,着陸,34L,8:15.0,0
8:15,,東京,,着陸,34R,8:16.0,1
8:15,,東京,,着陸,34L,8:16.0,1
8:15,8:15.0,信州松本,,D1,34R,8:26.9,0
8:20,,ハノイ,,着陸,34L,8:20.0,0
8:20,,天草,,着陸,34L,8:21.0,1
8:25,8:25.0,東京,,D8,34L,8:36.1,0
8:30,,宮崎,,着陸,34R,8:30.0,0
8:35,,名古屋/小牧,,着陸,34R,8:35.0,0
8:35,,東京,,着陸,34R,8:36.0,1
8:40,,沖縄/那覇,,着陸,34R,8:40.0,0
8:50,,東京,,着陸,34L,8:50.0,0
8:50,8:50.0,天草,,D81,34R,8:57.1,0
8:55,8:55.0,名古屋/中部,,D5,34L,9:6.7,0
8:55,8:55.0,沖縄/那覇,,D4,34R,9:6.5,0
8:55,8:57.8,仙台,,D11,34R,9:7.5,3
8:55,8:55.6,東京,,D2,34L,9:7.7,1
9:00,,沖縄/那覇,,着陸,34R,9:8.6,9
9:00,,東京,,着陸,34L,9:8.8,9
9:00,,名古屋/中部,,着陸,34R,9:9.6,10
9:00,8:60.0,東京,,D9,34L,9:10.6,0
9:00,9:00.8,大阪,,D11,34R,9:10.5,1
9:00,9:00.4,高知,,D6,34R,9:11.5,1
9:05,,宮崎,,着陸,34L,9:11.7,7
9:05,9:05.0,名古屋/小牧,,D3,34R,9:16.6,0
9:10,9:10.0,東京,,D7,34L,9:21.4,0
9:10,9:10.0,東京,,D12,34R,9:19.4,0
9:10,9:12.2,バンコク/スワンナプーム,,I54,34R,9:20.4,3
9:15,,大阪,,着陸,34R,9:21.5,7
9:15,,成田,,着陸,34L,9:22.5,8
9:15,,宮崎,,着陸,34R,9:22.5,8
9:15,,成田,,着陸,34L,9:23.5,9
9:15,9:16.0,ハノイ,,I57,34R,9:23.4,1
9:20,,東京,,着陸,34L,9:24.5,5
9:20,,静岡,,着陸,34R,9:24.5,5
9:20,,対馬,,着陸,34L,9:25.5,6
9:25,,名古屋/中部,,着陸,34R,9:25.5,1
9:25,9:25.0,沖縄/那覇,,D12,34L,9:34.9,0
9:35,,福江,,着陸,34R,9:35.0,0
9:35,,東京,,着陸,34L,9:36.0,1
9:35,9:35.0,福江,,D82,34R,9:41.9,0
9:40,,仙台,,着陸,34L,9:40.0,0
9:40,9:40.0,東京,,D10,34L,9:50.4,0
9:40,9:40.0,沖縄/那覇,,D6,34R,9:51.1,0
9:50,9:50.0,静岡,,D3,34L,10:2.0,0
9:50,9:50.0,宮崎,,D82,34R,9:56.9,0
9:55,,名古屋/小牧,,着陸,34R,9:58.0,3
9:55,,東京,,着陸,34R,9:59.0,4
9:55,9:55.0,名古屋/中部,,D1,34R,10:6.9,0
10:00,,松山,,着陸,34L,10:3.1,4
10:00,,台北/桃園,,着陸,34L,10:4.1,5
10:00,10:00.0,札幌/新千歳,,D11,34L,10:10.1,0
