定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:25,11:25,札幌/新千歳,,D4,X,11:30,0.0
11:25,,沖縄/那覇,,着陸,S,11:25,0.0
11:25,,高知,,着陸,S,11:27,2.0
11:30,11:30,小松,,D81,S,11:37,0.0
11:30,,東京,,着陸,X,11:32,1.1981981981982244
11:30,,沖縄/那覇,,着陸,X,11:34,3.1981981981982246
11:30,,東京,,着陸,X,11:36,5.198198198198225
11:35,11:35,成田,,D1,X,11:40,0.0
11:40,11:40,札幌/新千歳,,D6,S,11:44,0.0
11:40,11:40,いわて花巻,,D5,X,11:45,0.0
11:40,11:42,名古屋/中部,,D11,S,11:46,1.0210210210209576
11:45,11:45,東京,,D8,X,11:49,0.0
11:45,11:45,プサン,,I54,S,11:53,0.0
11:50,11:50,東京,,D11,X,11:55,0.0
11:50,,宮崎,,着陸,S,11:55,4.13213213213215
11:55,11:55,沖縄/那覇,,D2,S,11:59,0.0
11:55,11:55,松山,,D6,X,11:59,0.0
11:55,,名古屋/小牧,,着陸,S,12:01,5.5885885885886335
11:55,,茨城,,着陸,X,12:01,5.948948948948964
12:00,12:00,大阪,,D82,S,12:07,0.0
12:00,12:00,東京,,D7,X,12:04,0.0
12:00,,札幌/新千歳,,着陸,X,12:06,5.930930930930966
12:00,,大阪,,着陸,X,12:08,7.930930930930966
12:00,,東京,,着陸,S,12:09,8.417417417417406
12:05,12:06,沖縄/那覇,,D9,X,12:10,0.46846846846844226
12:05,12:05,ソウル/仁川,,I55,S,12:13,0.0
12:10,12:10,東京,,D3,X,12:15,0.0
12:10,,出雲,,着陸,S,12:15,4.360360360360331
12:10,,沖縄/那覇,,着陸,X,12:17,6.327327327327294
12:10,,東京,,着陸,S,12:17,6.360360360360331
12:15,,宮崎,,着陸,X,12:19,3.3273273273272936
12:20,12:20,台北/桃園,,I53,S,12:27,0.0
12:20,,仙台,,着陸,X,12:21,0.32732732732729347
12:25,12:25,東京,,D10,X,12:30,0.0
12:25,12:26,石垣,,D1,S,12:29,0.11411411411415126
12:25,12:25,宮崎,,D82,S,12:32,0.0
12:25,,東京,,着陸,X,12:32,6.678678678678625
12:30,12:30,信州松本,,D5,S,12:34,0.0
12:30,12:30,仙台,,D81,X,12:38,0.0
12:35,12:35,札幌/新千歳,,D12,S,12:40,0.0
12:35,12:35,沖縄/那覇,,D4,X,12:40,0.0
12:40,12:40,ソウル/仁川,,I56,X,12:48,0.0
12:40,,徳島,,着陸,S,12:42,1.5525525525525155
12:50,12:50,名古屋/中部,,D81,S,12:57,0.0
12:50,12:50,宮崎,,D11,X,12:55,0.0
12:50,12:53,東京,,D6,X,12:57,2.978978978978921
12:50,,東京,,着陸,S,12:59,8.417417417417406
12:50,,沖縄/那覇,,着陸,X,12:59,8.927927927927886
12:55,12:57,沖縄/那覇,,D11,S,13:01,1.12012012012007
13:00,13:00,東京,,D8,X,13:04,0.0
13:00,13:00,屋久島,,D81,S,13:07,0.0
13:05,,沖縄/那覇,,着陸,X,13:06,0.9039039039038471
13:10,,東京,,着陸,X,13:10,0.0
13:10,,札幌/新千歳,,着陸,S,13:10,0.0
13:15,13:15,松山,,D6,S,13:19,0.0
13:15,,香港,,着陸,X,13:15,0.0
13:15,,沖縄/那覇,,着陸,X,13:17,2.0
13:20,13:20,東京,,D9,X,13:25,0.0
13:20,,仙台,,着陸,S,13:21,0.31831831831829427
13:25,13:25,沖縄/那覇,,D12,S,13:30,0.0
13:25,,東京,,着陸,X,13:27,1.4624624624625235
13:25,,福江,,着陸,X,13:29,3.4624624624625238
13:35,,名古屋/中部,,着陸,X,13:35,0.0
13:40,,札幌/新千歳,,着陸,S,13:40,0.0
13:40,,東京,,着陸,X,13:40,0.0
13:45,,台北/桃園,,着陸,S,13:45,0.0
