定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:30,11:30,小松,,D81,S,11.0:38,0
11:30,,東京,,着陸,X,11:30.0,0
11:30,,沖縄/那覇,,着陸,X,11:32.0,2
11:30,,東京,,着陸,X,11:34.0,4
11:35,11:35,成田,,D1,X,11.0:41,0
11:40,11:40,札幌/新千歳,,D6,S,11.0:45,0
11:40,11:40,いわて花巻,,D5,X,11.0:46,0
11:40,11:42,名古屋/中部,,D11,S,11.0:47,2
11:45,11:45,東京,,D8,X,11.0:50,0
11:45,11:45,プサン,,I54,S,11.0:54,0
11:50,11:50,東京,,D11,X,11.0:56,0
11:50,,宮崎,,着陸,S,11.0:52.13333333333333,3
11:55,11:55,沖縄/那覇,,D2,S,12.0:00,0
11:55,11:55,松山,,D6,X,12.0:00,0
11:55,,名古屋/小牧,,着陸,S,11.0:58.6,4
11:55,,茨城,,着陸,X,11.0:58.95,4
12:00,12:00,大阪,,D82,S,12.0:08,0
12:00,12:00,東京,,D7,X,12.0:05,0
12:00,,札幌/新千歳,,着陸,X,12.0:3.933333333333333,4
12:00,,大阪,,着陸,X,12.0:5.933333333333334,6
12:00,,東京,,着陸,S,12.0:6.433333333333334,7
12:05,12:06,沖縄/那覇,,D9,X,12.0:11,1
12:05,12:05,ソウル/仁川,,I55,S,12.0:14,0
12:10,12:10,東京,,D3,X,12.0:16,0
12:10,,出雲,,着陸,S,12.0:12.366666666666667,3
12:10,,沖縄/那覇,,着陸,X,12.0:14.333333333333334,5
12:10,,東京,,着陸,S,12.0:14.366666666666667,5
12:15,,宮崎,,着陸,X,12.0:16.333333333333332,2
12:20,12:20,台北/桃園,,I53,S,12.0:28,0
12:20,,仙台,,着陸,X,12:20.0,0
12:25,12:25,東京,,D10,X,12.0:31,0
12:25,12:26,石垣,,D1,S,12.0:30,1
12:25,12:25,宮崎,,D82,S,12.0:33,0
12:25,,東京,,着陸,X,12.0:29.683333333333334,5
12:30,12:30,信州松本,,D5,S,12.0:35,0
12:30,12:30,仙台,,D81,X,12.0:39,0
12:35,12:35,札幌/新千歳,,D12,S,12.0:41,0
12:35,12:35,沖縄/那覇,,D4,X,12.0:41,0
12:40,12:40,ソウル/仁川,,I56,X,12.0:49,0
12:40,,徳島,,着陸,S,12:40.0,0
12:50,12:50,名古屋/中部,,D81,S,12.0:58,0
12:50,12:50,宮崎,,D11,X,12.0:56,0
12:50,12:53,東京,,D6,X,12.0:58,3
12:50,,東京,,着陸,S,12.0:56.43333333333333,7
12:50,,沖縄/那覇,,着陸,X,12.0:56.93333333333333,7
12:55,12:57,沖縄/那覇,,D11,S,13.0:02,2
13:00,13:00,東京,,D8,X,13.0:05,0
13:00,13:00,屋久島,,D81,S,13.0:08,0
13:05,,沖縄/那覇,,着陸,X,13:5.0,0
13:10,,東京,,着陸,S,13:10.0,0
13:10,,札幌/新千歳,,着陸,X,13:10.0,0
13:15,13:15,松山,,D6,X,13.0:20,0
13:15,,香港,,着陸,S,13:15.0,0
13:15,,沖縄/那覇,,着陸,S,13:17.0,2
