定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
10:00,10:00.0,札幌/新千歳,,D11,16L,10:04.0,0
10:00,10:00.0,成田,,D4,16R,10:04.3,0
10:00,10:02.1,東京,,D8,16L,10:05.0,3
10:00,10:01.6,徳島,,D6,16R,10:05.3,2
10:00,,松山,,着陸,16L,10:06.1,7
10:00,,台北/桃園,,着陸,16R,10:06.4,7
10:05,10:05.0,成田,,D5,16L,10:07.9,0
10:05,10:05.0,対馬,,D81,16R,10:11.9,0
10:10,10:10.0,東京,,D9,16L,10:13.5,0
10:10,10:10.0,仙台,,D81,16R,10:16.9,0
10:10,10:10.3,名古屋/中部,,D12,16L,10:14.5,1
10:15,10:15.0,東京,,D2,16L,10:18.4,0
10:30,10:30.0,ハノイ,,I55,16R,10:35.9,0
10:35,10:35.0,宮崎,,D6,16L,10:38.1,0
10:45,,成田,,着陸,16R,10:45.0,0
10:45,,静岡,,着陸,16L,10:45.0,0
10:50,,プサン,,着陸,16L,10:50.0,0
10:50,,東京,,着陸,16R,10:50.0,0
10:55,10:55.0,名古屋/小牧,,D1,16L,10:58.5,0
10:55,10:55.0,台北/桃園,,I53,16R,11:00.5,0
10:55,,小松,,着陸,16L,10:59.6,5
10:55,,成田,,着陸,16L,11:00.6,6
10:55,,名古屋/中部,,着陸,16R,11:01.6,7
11:00,11:00.0,東京,,D7,16L,11:03.4,0
11:00,,ソウル/仁川,,着陸,16R,11:02.6,3
11:00,,東京,,着陸,16R,11:03.6,4
11:05,,ソウル/仁川,,着陸,16L,11:05.0,0
11:05,,大阪,,着陸,16R,11:05.0,0
11:10,11:10.0,東京,,D10,16L,11:13.7,0
11:10,,関西,,着陸,16R,11:10.0,0
11:10,,東京,,着陸,16R,11:11.0,1
11:15,11:15.0,静岡,,D3,16R,11:19.2,0
11:15,,新潟,,着陸,16L,11:15.0,0
11:15,,東京,,着陸,16L,11:16.0,1
11:20,,台北/桃園,,着陸,16L,11:20.0,0
11:25,11:25.0,札幌/新千歳,,D4,16R,11:29.3,0
11:25,,沖縄/那覇,,着陸,16L,11:25.0,0
11:25,,高知,,着陸,16L,11:26.0,1
11:30,11:30.0,小松,,D81,16L,11:36.3,0
11:30,,東京,,着陸,16R,11:30.4,1
11:30,,沖縄/那覇,,着陸,16R,11:31.4,2
11:30,,東京,,着陸,16R,11:32.4,3
11:35,11:35.0,成田,,D1,16R,11:39.1,0
11:40,11:40.0,札幌/新千歳,,D6,16L,11:43.1,0
11:40,11:40.0,いわて花巻,,D5,16R,11:43.6,0
11:40,11:40.2,名古屋/中部,,D11,16L,11:44.1,1
