定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:55,,茨城,,着陸,S,12:07,12
12:00,12:00,大阪,,D82,X,12:14,0
12:00,12:00,東京,,D7,S,12:11,0
12:00,,札幌/新千歳,,着陸,S,12:13,13
12:00,,大阪,,着陸,S,12:15,15
12:00,,東京,,着陸,X,12:16,16
12:05,12:05,沖縄/那覇,,D9,S,12:20,0
12:05,12:05,ソウル/仁川,,I55,X,12:24,0
12:10,12:10,東京,,D3,S,12:24,0
12:10,,出雲,,着陸,X,12:26,16
12:10,,沖縄/那覇,,着陸,S,12:26,16
12:10,,東京,,着陸,X,12:28,18
12:15,,宮崎,,着陸,S,12:28,13
12:20,12:20,台北/桃園,,I53,X,12:35,0
12:20,,仙台,,着陸,S,12:30,10
12:25,12:25,東京,,D10,S,12:35,0
12:25,12:25,石垣,,D1,X,12:40,0
12:25,12:25,宮崎,,D82,S,12:43,0
12:25,,東京,,着陸,X,12:42,17
12:30,12:30,信州松本,,D5,X,12:48,0
12:30,12:30,仙台,,D81,S,12:50,0
12:35,12:35,札幌/新千歳,,D12,X,12:54,0
12:35,12:35,沖縄/那覇,,D4,S,12:54,0
12:40,12:40,ソウル/仁川,,I56,X,13:02,0
12:40,,徳島,,着陸,S,12:56,16
12:50,12:50,名古屋/中部,,D81,S,13:04,0
12:50,12:50,宮崎,,D11,X,13:08,0
12:50,12:50,東京,,D6,S,13:08,0
12:50,,東京,,着陸,X,13:10,20
12:50,,沖縄/那覇,,着陸,S,13:10,20
12:55,12:55,沖縄/那覇,,D11,X,13:16,0
13:00,13:00,東京,,D8,S,13:14,0
13:00,13:00,屋久島,,D81,S,13:22,0
13:05,,沖縄/那覇,,着陸,X,13:18,13
13:10,,東京,,着陸,X,13:20,10
13:10,,札幌/新千歳,,着陸,X,13:22,12
13:15,13:15,松山,,D6,X,13:27,0
13:15,,香港,,着陸,S,13:24,9
13:15,,沖縄/那覇,,着陸,S,13:26,11
13:20,13:20,東京,,D9,S,13:31,0
13:20,,仙台,,着陸,X,13:29,9
13:25,13:25,沖縄/那覇,,D12,X,13:35,0
13:25,,東京,,着陸,S,13:33,8
13:25,,福江,,着陸,S,13:35,10
13:35,,名古屋/中部,,着陸,S,13:37,2
13:40,,札幌/新千歳,,着陸,X,13:40,0
13:40,,東京,,着陸,S,13:40,0
13:45,,台北/桃園,,着陸,X,13:45,0
13:50,13:50,沖縄/那覇,,D11,S,13:56,0
13:50,13:50,東京,,D5,X,13:56,0
13:50,,屋久島,,着陸,X,13:58,8
13:55,13:55,仙台,,D11,S,14:01,0
13:55,,東京,,着陸,X,14:00,5
13:55,,対馬,,着陸,X,14:02,7
14:00,14:00,関西,,D2,S,14:06,0
14:00,14:00,札幌/新千歳,,D4,X,14:07,0
14:00,,松山,,着陸,S,14:08,8
14:05,14:05,対馬,,D81,X,14:15,0
14:05,14:05,東京,,D7,S,14:12,0
14:05,,新潟,,着陸,S,14:14,9
14:05,,東京,,着陸,S,14:16,11
14:05,,プサン,,着陸,X,14:17,12
14:15,14:15,東京,,D10,S,14:21,0
14:15,14:15,東京,,D6,X,14:22,0
